location,state,do,ph,co,bod,na,tc,year,wqi
ZUARI AT PANCHAWADI,GOA,6.3,6.9,179,1.7,0.1,5330,2014,79.28
RIVER ZUARI AT BORIM BRIDGE,GOA,5.8,6.9,64,3.8,0.5,8443,2014,69.34
RIVER ZUARI AT MARCAIM JETTY,GOA,5.8,7.3,83,1.9,0.4,5500,2014,77.14
"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,5.5,7.4,81,1.5,0.1,4049,2014,77.14
"MANDOVI AT TONCA, MARCELA, GOA",GOA,6.1,6.7,308,1.4,0.3,5672,2014,75.44
RIVER MANDOVI AT AMONA BRIDGE,GOA,6.4,6.7,414,1,0.2,9423,2014,75.44
RIVER MANDOVI AT IFFI JETTY,GOA,6.4,7.6,305,2.2,0.1,4990,2014,82.04
RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,6.3,7.6,77,2.3,0.1,4301,2014,82.76
"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7.1,7.1,176,1.2,0.1,7817,2014,82.58
"RIVER ASSONORA AT ASSONORA, GOA",GOA,6.7,6.4,93,1.4,0.1,3433,2014,66.26
"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,7.4,6.8,121,1.7,0.4,18125,2014,68.22
"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.9,7,620,1.1,0.1,6300,2014,82.04
RIVER CHAPORA AT SIOLIM,GOA,6,7.5,72,1.6,0.2,9517,2014,82.94
"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,7.3,7,247,1.5,0.2,2453,2014,82.4
"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.3,7,188,1,0.1,3048,2014,82.58
"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,7,6.9,224,1.2,0.3,6742,2014,79.28
"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.3,6.7,144,1.5,0.1,3052,2014,76.16
RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,5.3,6.8,319,1.8,0.3,10250,2014,61.88
"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.3,6.4,79,1.6,1.4,12842,2014,55.02
"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.4,7.6,39,1.4,0.1,6367,2014,77.32
"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.2,6.5,322,4.7,1.2,14920,2014,28.12
"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,5.2,7.1,192,2.6,0.3,8925,2014,76.96
RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.5,282,1.8,0.1,5082,2014,76.78
RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.5,7.4,275,1.5,0.1,8625,2014,76.78
"RIVER TALPONA AT CANACONA, GOA",GOA,7.3,6.7,55,1.4,0.1,4003,2014,76.34
RIVER TIRACOL AT TIRACOL,GOA,6.5,7.5,415,2,0.1,1538,2014,82.04
"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.2,6.3,100,1.5,0.1,13575,2014,55.02
"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.6,7.8,95,4.9,0.2,36,2014,89.32
