station,location,state,do,ph,co,bod,na,tc,year,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
1475,ZUARI AT PANCHAWADI,GOA,6.3,6.9,179,1.7,0.1,5330,2014,80,100,40,100,60,100,13.2,28.1,23.4,0.54,2.8,11.24,79.28
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,5.8,6.9,64,3.8,0.5,8443,2014,80,80,40,80,100,100,13.2,22.48,18.72,0.9,2.8,11.24,69.34
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,5.8,7.3,83,1.9,0.4,5500,2014,100,80,40,100,80,100,16.5,22.48,23.4,0.72,2.8,11.24,77.14
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,5.5,7.4,81,1.5,0.1,4049,2014,100,80,40,100,80,100,16.5,22.48,23.4,0.72,2.8,11.24,77.14
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,6.1,6.7,308,1.4,0.3,5672,2014,60,100,40,100,0,100,9.9,28.1,23.4,0,2.8,11.24,75.44
3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,6.4,6.7,414,1,0.2,9423,2014,60,100,40,100,0,100,9.9,28.1,23.4,0,2.8,11.24,75.44
3186,RIVER MANDOVI AT IFFI JETTY,GOA,6.4,7.6,305,2.2,0.1,4990,2014,100,100,40,100,0,100,16.5,28.1,23.4,0,2.8,11.24,82.04
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,6.3,7.6,77,2.3,0.1,4301,2014,100,100,40,100,80,100,16.5,28.1,23.4,0.72,2.8,11.24,82.76
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7.1,7.1,176,1.2,0.1,7817,2014,100,100,40,100,60,100,16.5,28.1,23.4,0.54,2.8,11.24,82.58
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,6.7,6.4,93,1.4,0.1,3433,2014,0,100,40,100,80,100,0,28.1,23.4,0.72,2.8,11.24,66.26
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,7.4,6.8,121,1.7,0.4,18125,2014,80,100,0,100,80,100,13.2,28.1,23.4,0.72,2.8,0,68.22
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.9,7,620,1.1,0.1,6300,2014,100,100,40,100,0,100,16.5,28.1,23.4,0,2.8,11.24,82.04
3189,RIVER CHAPORA AT SIOLIM,GOA,6,7.5,72,1.6,0.2,9517,2014,100,100,40,100,100,100,16.5,28.1,23.4,0.9,2.8,11.24,82.94
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,7.3,7,247,1.5,0.2,2453,2014,100,100,40,100,40,100,16.5,28.1,23.4,0.36,2.8,11.24,82.4
